Wins,PPG,OPPG,P6,3PT,TO,AST,ConfChamp,Seed,RPG,STL,NumApp,Home,Team 1 Win?
-2.0,12.370000000000005,11.930000000000007,-1.0,2.55,0.22000000000000064,0.8499999999999996,1.0,5.0,-2.539999999999999,-0.5399999999999991,-8.0,1.0,0.0
11.0,3.6500000000000057,-2.180000000000007,1.0,-0.19000000000000128,-1.7799999999999994,3.860000000000001,0.0,7.0,-7.5,3.67,22.0,1.0,1.0
-6.0,-3.6899999999999977,6.439999999999998,0.0,-0.11000000000000032,0.879999999999999,-2.8499999999999996,0.0,0.0,-2.849999999999998,-0.9900000000000002,-6.0,-1.0,0.0
17.0,14.570000000000007,-2.3900000000000006,1.0,1.5999999999999996,-1.3800000000000008,1.4000000000000004,0.0,11.0,6.960000000000001,1.37,12.0,1.0,1.0
-5.0,-1.5100000000000051,0.8000000000000114,-1.0,-0.010000000000000675,-0.5200000000000014,-0.16999999999999993,0.0,0.0,-6.0,3.579999999999999,-7.0,1.0,0.0
10.0,-2.0600000000000023,-7.739999999999995,0.0,-1.5300000000000002,-4.67,1.5099999999999998,0.0,11.0,-0.5399999999999991,-0.20999999999999996,9.0,1.0,1.0
-3.0,-2.1899999999999977,2.5900000000000034,0.0,1.92,2.0700000000000003,-1.9399999999999995,0.0,0.0,0.3500000000000014,-0.5200000000000005,-11.0,1.0,0.0
-2.0,9.150000000000006,5.75,1.0,1.12,-1.17,1.9399999999999995,0.0,0.0,7.23,-1.3000000000000007,28.0,1.0,1.0
-2.0,-2.2900000000000063,-0.01999999999999602,0.0,-2.7299999999999995,2.0299999999999994,0.25,0.0,0.0,-2.84,3.91,-1.0,-1.0,0.0
14.0,1.1799999999999926,-11.790000000000006,1.0,0.10000000000000053,-3.99,2.16,0.0,7.0,1.639999999999997,2.75,2.0,1.0,1.0
-2.0,-5.030000000000001,-1.230000000000004,-1.0,-0.25,2.4700000000000006,1.709999999999999,0.0,0.0,-0.6999999999999957,1.38,-16.0,1.0,0.0
10.0,5.590000000000003,-3.8799999999999955,1.0,0.6699999999999999,0.7599999999999998,-0.10999999999999943,0.0,0.0,1.9100000000000037,-0.22999999999999954,19.0,1.0,1.0
-4.0,-0.0,2.3799999999999955,0.0,1.9699999999999998,3.59,2.3900000000000006,0.0,0.0,-5.330000000000002,3.6899999999999995,-10.0,1.0,0.0
14.0,12.450000000000003,-3.980000000000004,1.0,1.13,-3.2699999999999996,3.51,0.0,0.0,5.309999999999999,-0.5200000000000005,10.0,1.0,1.0
-5.0,4.779999999999994,10.400000000000006,-1.0,1.6399999999999997,-0.3699999999999992,1.8900000000000006,0.0,0.0,0.8099999999999987,0.14999999999999947,7.0,1.0,0.0
9.0,-0.45999999999999375,-7.3999999999999915,1.0,1.6300000000000008,-4.709999999999999,2.74,0.0,10.0,3.210000000000001,-0.4299999999999997,-6.0,1.0,1.0
8.0,-2.1000000000000085,-3.260000000000005,0.0,0.7300000000000004,-0.8199999999999985,0.16000000000000014,0.0,0.0,-1.2499999999999964,-0.21000000000000085,-7.0,1.0,0.0
7.0,-0.2599999999999909,-6.659999999999997,1.0,2.210000000000001,-1.3000000000000007,2.3000000000000007,0.0,11.0,-0.8200000000000003,-1.8499999999999996,20.0,1.0,1.0
-10.0,-6.549999999999997,0.8800000000000097,0.0,-2.710000000000001,1.3199999999999985,-1.6500000000000004,0.0,0.0,-2.6099999999999994,0.3600000000000003,7.0,-1.0,0.0
